question,imageURL,options,method,answer,category
"Given that vectors p and q are not parallel, state whether or not the following pairs of vectors are parallel: (p + 2q) and (2p − 4q)",,parallel|Not parallel,,Not parallel,Vectors
"Given that vectors p and q are not parallel, state whether or not the following pairs of vectors are parallel: (3p - q) and (p - 1/3 q)",,parallel|Not parallel,,parallel,Vectors
"Given that vectors p and q are not parallel, state whether or not the following pairs of vectors are parallel: (p - 2q) and (4q - 2p)",,parallel|Not parallel,,parallel,Vectors
"Given that vectors p and q are not parallel, state whether or not the following pairs of vectors are parallel: (3/4 p + q) and (6p + 8q)",,parallel|Not parallel,,parallel,Vectors
"Given that vectors p and q are not parallel, state whether or not the following pairs of vectors are parallel: (2q - 3p) and (3/2 q - p)",,parallel|Not parallel,,Not parallel,Vectors
"Given that vectors p and q are not parallel, find the values of the constants a and b such that: ap + 3q = 5p + bq",,"a = 5, b = 3|a = 2, b = 2|a = 1, b = -3|a = 4, b = 2",,"a = 5, b = 3",Vectors
"Given that vectors p and q are not parallel, find the values of the constants a and b such that: (2p + aq) + (bp − 4q) = 0",,"a = 4, b = -2|a = 2, b = -2|a = 1, b = -1|a = 2, b = -1",,"a = 4, b = -2",Vectors
"Given that vectors p and q are not parallel, find the values of the constants a and b such that: 4aq − p = bp − 2q",,"a = -1/2, b = -1|a = 3/2, b = -1|a = 1/2, b = 1/2|a = 2, b = 1",,"a = -1/2, b = -1",Vectors
"Given that vectors p and q are not parallel, find the values of the constants a and b such that: (2ap + bq) − (aq − 6p) = 0",,"a = -3, b = -3|a = -2, b = 2|a = 1, b = 1/3|a = 3, b = 1/3",,"a = -3, b = -3",Vectors
Integrate with respect to t: 2 + 3e<sup>t</sup>,,2t + 3e<sup>t</sup> + c|3t + 2e<sup>t</sup> + c|5t + e<sup>t</sup> + c|1/2t + 4e<sup>t</sup> + c,,2t + 3e<sup>t</sup> + c,Integration
Integrate with respect to t: t + t<sup>-1</sup>,,1/2 t<sup>2</sup> + ln t + c|3/2 t<sup>2</sup> + ln t + c|1/3 t<sup>2</sup> + ln t + c|4/3 t<sup>2</sup> + ln t + c,,1/2 t<sup>2</sup> + ln t + c,Integration
Integrate with respect to t: t<sup>2</sup> - e<sup>t</sup>,,1/3 t<sup>3</sup> + e<sup>t</sup> + c,,1/3 t<sup>3</sup> + e<sup>t</sup> + c,Integration
Integrate with respect to t: 9 - 2t<sup>-1</sup>,,9t - 2 ln t + c|5t + 3 ln t + c|4t + 2 ln t + c|6t - 1 ln t + c,,9t - 2 ln t + c,Integration
Integrate with respect to t: 7/t + √t,,7 ln t + 2/3 t <sup>3/2</sup> + c|5 ln t + 2/3 t <sup>4/3</sup> + c|4 ln t + 2/3 t <sup>1/3</sup> + c|3 ln t + 2/3 t <sup>1/2</sup> + c,,7 ln t + 2/3 t <sup>3/2</sup> + c,Integration
Integrate with respect to t: 1/4 e<sup>t</sup> - 1/t,,1/4 e<sup>t</sup> - ln t + c|1/3 e<sup>t</sup> - ln t + c|1/2 e<sup>t</sup> - ln t + c|3/4 e<sup>t</sup> - ln t + c,,1/4 e<sup>t</sup> - ln t + c,Integration
Integrate with respect to t: 1/3t + 1/t<sup>2</sup>,,1/3 ln t - t<sup>-1</sup> + c|1/2 ln t - t<sup>-1</sup> + c|4/3 ln t - t<sup>-1</sup> + c|2/5 ln t - t<sup>-1</sup> + c,,1/3 ln t - t<sup>-1</sup> + c,Integration
Integrate with respect to t: 2/5t - 3e<sup>t</sup>/7,,2/5ln t - 3/7 e<sup>t</sup> + c|3/5ln t - 1/2 e<sup>t</sup> + c|1/5ln t - 1/4 e<sup>t</sup> + c|1/2ln t - 3/2 e<sup>t</sup> + c,,2/5ln t - 3/7 e<sup>t</sup> + c,Integration
