question,imageURL,options,method,answer,category
Use the factor theorem to determine whether or not: (x - 3) is a factor of (x<sup>3</sup> - x<sup>2</sup> - 14x + 27),,(x - 3) is NOT a factor|(x - 3) is a factor,,(x - 3) is NOT a factor,Algebra
Use the factor theorem to determine whether or not: (x + 6) is a factor of (2x<sup>3</sup> + 13x<sup>2</sup> + 2x - 24),,(x + 6) is a factor|(x + 6) is NOT a factor,,(x + 6) is a factor,Algebra
Use the factor theorem to determine whether or not: (2x + 1) is a factor of (2x<sup>3</sup> - 5x<sup>2</sup> + 7x - 14),,(2x + 1) is a factor|(2x + 1) is NOT a factor,,(2x + 1) is a factor,Algebra
Use the factor theorem to determine whether or not: (3x - 2) is a factor of (2 - 17x + 25x<sup>2</sup> - 6x<sup>3</sup>),,(3x - 2) is a factor|(3x - 2) is NOT a factor,,(3x - 2) is a factor,Algebra
Find any values of x for which dy/dx = 0:  y = x<sup>3</sup> + 6x,,x = -3|x = 3|x = -2|x = -1,,x = -3,Differentiation
Find any values of x for which dy/dx = 0:  y = 4x<sup>2</sup> + 2x + 1,,x = -1/3|x = -1/4|x = -1/2|x = 1/4,,x = -1/4,Differentiation
Find any values of x for which dy/dx = 0:  y = x<sup>3</sup> - 12x,,"x = 2, x = -2|x = 1, x = -2|x = 2, x = -1|x = 0, x = -2",,"x = 2, x = -2",Differentiation
Find any values of x for which dy/dx = 0:  y = 4 + 9x<sup>2</sup> - x<sup>3</sup>,,"x = 0, x = 6|x = 0, x = 5|x = 3, x = 6|x = -1, x = 6",,"x = 0, x = 6",Differentiation
Find any values of x for which dy/dx = 0:  y = x<sup>3</sup> - 5x<sup>2</sup> + 3x,,"x = 1/3, x = 3|x = 1/2, x = 3|x = -1/3, x = 3|x = 1/3, x = 0",,"x = 1/3, x = 3",Differentiation
Find any values of x for which dy/dx = 0:  y = x + 9/x,,"x = 3, x = -2|x = 3, x = 2|x = 0, x = -3|x = 3, x = -3",,"x = 3, x = -3",Differentiation
Find any values of x for which dy/dx = 0:  y = (x<sup>2</sup> + 3)(x - 3),,x = 0|x = -1|x = 2|x = 1,,x = 1,Differentiation
Find any values of x for which dy/dx = 0:  y = x<sup>1/2</sup> - 2x,,x = 1/16|x = 1/3|x = 1/8|x = -1/16,,x = 1/16,Differentiation
"Find the area of the region enclosed by the curve y = f(x), the x-axis and the given ordinates. In each case, f(x) > 0 over the interval being considered: f(x) = x<sup>2</sup> + 2,  x = 0, x = 2",,6 2/3|6 2/5|6 1/3|6 1/4,,6 2/3,Integration
"Find the area of the region enclosed by the curve y = f(x), the x-axis and the given ordinates. In each case, f(x) > 0 over the interval being considered: f(x) = 3x<sup>2</sup> + 8x + 6,  x = -2, x = 1",,15|13|12|16,,15,Integration
"Find the area of the region enclosed by the curve y = f(x), the x-axis and the given ordinates. In each case, f(x) > 0 over the interval being considered: f(x) = 9 + 2x - x<sup>2</sup>,  x = 2, x = 4",,11 1/3|11 1/2|11 2/3|11 1/4,,11 1/3,Integration
"Find the area of the region enclosed by the curve y = f(x), the x-axis and the given ordinates. In each case, f(x) > 0 over the interval being considered: f(x) = x<sup>3</sup> - 4x + 1,  x = -1, x = 0",,11/4|10/4|9/4|7/4,,11/4,Integration
"Find the area of the region enclosed by the curve y = f(x), the x-axis and the given ordinates. In each case, f(x) > 0 over the interval being considered: f(x) = 2x + 3x<sup>1/2</sup>,  x = 1, x = 4",,29|28|27|26,,29,Integration
"Find the area of the region enclosed by the curve y = f(x), the x-axis and the given ordinates. In each case, f(x) > 0 over the interval being considered: f(x) = 3 + 5/x<sup>2</sup>,  x = -5, x = -1",,16|15|14|13,,16,Integration
"For each of the following geometric series, write down the common ratio and find the value of the eighth term: 3 + 9 + 27 + 81 + …",,"r = 3, u<sub>8</sub> = 6561|r = 2, u<sub>8</sub> = 6564|r = 2, u<sub>8</sub> = 6563|r = 6, u<sub>8</sub> = 6564",,"r = 3, u<sub>8</sub> = 6561",Sequences and Series
"For each of the following geometric series, write down the common ratio and find the value of the eighth term: 1024 + 256 + 64 + 16 + …",,"r = 1/4, u<sub>8</sub> = 1/6|r = 1/4, u<sub>8</sub> = 1/4|r = 1/2, u<sub>8</sub> = 1/6|r = 1/3, u<sub>8</sub> = 1/4",,"r = 1/4, u<sub>8</sub> = 1/6",Sequences and Series
"For each of the following geometric series, write down the common ratio and find the value of the eighth term: 1 − 2 + 4 − 8 + …",,"r = -2, u<sub>8</sub> = -128|r = -1, u<sub>8</sub> = -124|r = -2, u<sub>8</sub> = -124|r = -1, u<sub>8</sub> = -128",,"r = -2, u<sub>8</sub> = -128",Sequences and Series
"For each of the following geometric series, find an expression for the nth term: 1 + 5 + 25 + 125 + …",,"a = 1, r = 5, u<sub>n</sub> = 5<sup>n-1</sup>|a = 2, r = 3, u<sub>n</sub> = 5<sup>n-1</sup>|a = 3, r = 2, u<sub>n</sub> = 5<sup>n-1</sup>|a = 4, r = 5, u<sub>n</sub> = 4<sup>n-1</sup>",,"a = 1, r = 5, u<sub>n</sub> = 5<sup>n-1</sup>",Sequences and Series
"For each of the following geometric series, find an expression for the nth term: 3 − 12 + 48 − 192 + …",,"a = 3, r = -4, u<sub>n</sub> = 3 * (-4)<sup>n-1</sup>|a = 3, r = -4, u<sub>n</sub> = 2 * (-4)<sup>n-1</sup>|a = 3, r = -2, u<sub>n</sub> = 3 * (-2)<sup>n-1</sup>|a = 3, r = -2, u<sub>n</sub> = 3 * (-5)<sup>n-1</sup>",,"a = 3, r = -4, u<sub>n</sub> = 3 * (-4)<sup>n-1</sup>",Sequences and Series
"For each of the following geometric series, find an expression for the nth term: 81 + 54 + 36 + 24 + …",,"a = 81, r = 2/3, u<sub>n</sub> = 81 * (2/3)<sup>n-1</sup>|a = 70, r = 1/3, u<sub>n</sub> = 81 * (2/3)<sup>n-1</sup>|a = 70, r = 1/3, u<sub>n</sub> = 81 * (2/3)<sup>n-1</sup>|a = 68, r = 1/4, u<sub>n</sub> = 81 * (2/3)<sup>n-1</sup>",,"a = 81, r = 2/3, u<sub>n</sub> = 81 * (2/3)<sup>n-1</sup>",Sequences and Series
Find the sum of the first 12 terms of each of the following geometric series: 2 + 4 + 8 + 16 + …,,"a = 2, r = 2, n = 12, S<sub>12</sub> = 8190|a = 2, r = 2, n = 12, S<sub>12</sub> = 8000|a = 2, r = 4, n = 10, S<sub>12</sub> = 8190|a = 2, r = 2, n = 13, S<sub>12</sub> = 8000",,"a = 2, r = 2, n = 12, S<sub>12</sub> = 8190",Sequences and Series
Find the sum of the first 12 terms of each of the following geometric series: 640 + 320 + 160 + 80 + …,,"a = 640, r = 1/2, n = 12, S<sub>12</sub> = 1279 11/16|a = 640, r = 1/3, n = 12, S<sub>14</sub> = 1059 11/16|a = 240, r = 1/2, n = 12, S<sub>12</sub> = 1019 11/16|a = 140, r = 1/2, n = 12, S<sub>12</sub> = 1009 11/16",,"a = 640, r = 1/2, n = 12, S<sub>12</sub> = 1279 11/16",Sequences and Series
Find the sum of the first 12 terms of each of the following geometric series: 1/6 - 1/2 + 1 1/2 - 4 1/2 + …,,"a = 1/6, r = -3, n = 12, S<sub>12</sub> = -22143 1/3|a = 1/3, r = -3, n = 12, S<sub>12</sub> = -22000 1/3|a = 1/2, r = -3, n = 12, S<sub>12</sub> = -20500 1/3|a = 1/6, r = -3, n = 12, S<sub>12</sub> = -22143 176",,"a = 1/6, r = -3, n = 12, S<sub>12</sub> = -22143 1/3",Sequences and Series
